code,title,credits,description,course_type,typical_semester,difficulty,workload_hours,required,is_critical,offered_semesters,source,time_commitment,difficulty_level
CS 18000,Problem Solving and Object-Oriented Programming,4,"Introduction to Java programming, object-oriented concepts, and problem-solving techniques.",foundation,freshman_fall,4.2,12,True,True,fall|spring|summer,comprehensive,15-20 hours per week,Hard
CS 18200,Foundations of Computer Science,3,"Mathematical foundations including discrete mathematics, logic, and proof techniques.",foundation,freshman_spring,4.0,10,True,True,fall|spring,comprehensive,12-15 hours per week,Hard
CS 24000,Programming in C,3,"Introduction to C programming, memory management, and systems programming concepts.",foundation,freshman_spring,3.8,11,True,True,fall|spring,comprehensive,10-15 hours per week,Moderate-Hard
CS 25000,Computer Architecture,4,"Computer organization, instruction sets, assembly language, and digital logic.",foundation,sophomore_fall,4.1,13,True,True,fall|spring,comprehensive,15-18 hours per week,Hard
CS 25100,Data Structures,3,"Linear and nonlinear data structures, algorithm analysis, and implementation.",foundation,sophomore_fall,4.5,14,True,True,fall|spring,comprehensive,18-25 hours per week,Very Hard
CS 25200,Systems Programming,4,"System-level programming, processes, memory management, and UNIX environment.",foundation,sophomore_spring,4.4,15,True,True,fall|spring,comprehensive,20-25 hours per week,Very Hard
CS 38100,Introduction to Algorithms,3,"Design and analysis of algorithms, complexity theory, and algorithmic problem solving.",core,junior_fall,4.2,16,True,False,fall|spring,comprehensive,15-18 hours per week,Hard
MA 16100,Calculus I,5,"Limits, derivatives, and applications of derivatives.",math,freshman_fall,3.0,0,True,True,fall|spring|summer,comprehensive,,
MA 16200,Calculus II,5,"Integration techniques, infinite series, and applications.",math,freshman_spring,3.2,0,True,True,fall|spring|summer,comprehensive,,
MA 26100,Multivariate Calculus,4,"Partial derivatives, multiple integrals, and vector calculus.",math,sophomore_fall,3.4,0,True,True,fall|spring,comprehensive,,
MA 26500,Linear Algebra,3,"Vector spaces, matrices, eigenvalues, and linear transformations.",math,sophomore_spring,3.6,0,True,True,fall|spring,comprehensive,,
STAT 35000,Elementary Statistics,3,"Basic statistical concepts, probability distributions, and hypothesis testing.",math,junior_fall,2.8,0,True,False,fall|spring|summer,comprehensive,,
CS 37300,Data Mining and Machine Learning,3,"Machine learning algorithms, data preprocessing, and model evaluation.",track_required,junior_fall,4.2,14,False,True,fall|spring,comprehensive,,
CS 47100,Introduction to Artificial Intelligence,3,"Search algorithms, knowledge representation, and AI problem-solving.",track_choice,junior_spring,4.0,13,False,False,fall|spring,comprehensive,,
CS 47300,Web Information Search and Management,3,"Information retrieval, web search engines, and text processing.",track_choice,junior_spring,3.8,12,False,False,fall|spring,comprehensive,,
